date,latitude,longitude,lat_lon,blue,green,red,nir
1/3/2020,44.70174059,-122.1916746,44.7017405895346_-122.19167463908232,458,572,475,519
1/3/2020,44.71278987,-122.1757745,44.71278986752928_-122.1757744585534,505,659,556,536
1/3/2020,44.70982543,-122.2356023,44.70982542709168_-122.23560225647574,804,859,885,1424
1/3/2020,44.71548481,-122.1687676,44.71548481338163_-122.16876759933726,631,823,908,1075
1/3/2020,44.72680359,-122.1604133,44.726803585961534_-122.16041326719494,188,383,531,806
1/3/2020,44.71575431,-122.1620302,44.71575430796687_-122.16203023470636,491,719,682,490
1/3/2020,44.69985413,-122.2455736,44.69985412743795_-122.24557355612949,629,765,832,1348
1/3/2020,44.72815106,-122.1601438,44.72815105888772_-122.1601437726097,216,450,620,956
1/3/2020,44.73704438,-122.1582573,44.7370443802005_-122.15825731051304,536,672,867,1162
1/3/2020,44.71386785,-122.1711931,44.71386784587022_-122.17119305060436,515,626,507,540
1/3/2020,44.70416604,-122.2412616,44.70416604080173_-122.24126164276568,794,1064,1324,1864
1/3/2020,44.70093211,-122.2288649,44.7009321057789_-122.22886489184484,801,1049,1133,1427
1/3/2020,44.72680359,-122.1682286,44.726803585961534_-122.16822861016678,561,783,1020,1250
1/3/2020,44.72087471,-122.1822423,44.720874705086345_-122.18224232859905,339,516,736,1043
1/3/2020,44.68449294,-122.1992205,44.68449293607951_-122.1992204874689,330,376,402,785
1/3/2020,44.7211442,-122.1830508,44.72114419967159_-122.18305081235476,291,451,661,953
1/3/2020,44.73434943,-122.1601438,44.73434943434814_-122.1601437726097,408,584,714,899
1/3/2020,44.70012362,-122.2455736,44.70012362202319_-122.24557355612949,630,805,911,1423
1/3/2020,44.72572561,-122.173349,44.7257256076206_-122.17334900728626,594,865,1140,1403
1/3/2020,44.69392525,-122.2116172,44.69392524656276_-122.21161723838976,446,574,462,462
1/3/2020,44.72330016,-122.1684981,44.723300156353474_-122.16849810475202,75,123,172,298
1/3/2020,44.71575431,-122.1790084,44.71575430796687_-122.1790083935762,519,763,690,513
1/3/2020,44.72006622,-122.1329248,44.72006622133064_-122.13292481950089,411,465,541,844
1/3/2020,44.73192398,-122.1625692,44.73192398308102_-122.16256922387684,383,522,640,875
1/3/2020,44.6963507,-122.1965255,44.696350697829885_-122.19652554161657,395,428,455,678
1/3/2020,44.71844925,-122.1870932,44.71844925381922_-122.18709323113328,451,600,807,1221
1/3/2020,44.68476243,-122.1965255,44.68476243066474_-122.19652554161657,662,816,974,1278
1/3/2020,44.69284727,-122.2086528,44.69284726822182_-122.20865279795215,473,626,507,528
1/3/2020,44.70093211,-122.1943696,44.7009321057789_-122.19436958493466,482,612,507,543
1/3/2020,44.68988283,-122.2067663,44.689882827784224_-122.2067663358555,333,394,418,613
1/3/2020,44.72356965,-122.1563708,44.72356965093871_-122.1563708484164,500,770,1124,1382
1/3/2020,44.72141369,-122.1547539,44.72141369425682_-122.154753880905,499,610,793,1147
1/3/2020,44.69877615,-122.2021849,44.69877614909701_-122.2021849279065,482,652,535,538
1/3/2020,44.730846,-122.1647252,44.73084600474007_-122.16472518055872,683,967,1211,1488
1/3/2020,44.71548481,-122.2444956,44.71548481338163_-122.24449557778853,318,443,362,378
1/3/2020,44.69392525,-122.2170071,44.69392524656276_-122.21700713009449,525,634,561,563
1/3/2020,44.70578301,-122.2382972,44.70578300831314_-122.2382972023281,540,632,498,610
1/3/2020,44.72087471,-122.1577183,44.720874705086345_-122.1577183213426,601,741,971,1381
1/3/2020,44.72545611,-122.149903,44.72545611303536_-122.14990297837076,314,440,719,824
1/3/2020,44.72330016,-122.1353503,44.723300156353474_-122.135350270768,392,442,498,634
1/3/2020,44.69958463,-122.2453041,44.69958463285272_-122.24530406154425,708,848,932,1284
