g,b,r,lat_lon,longitude,latitude
840,685,815,44.71683228630781_-122.24422608320327,-122.24422608320327,44.71683228630781
634,507,514,44.7122508783588_-122.17766092065004,-122.17766092065004,44.7122508783588
368,303,384,44.69096080612517_-122.21565965716827,-122.21565965716827,44.69096080612517
637,547,515,44.7047050299722_-122.18844070405947,-122.18844070405947,44.7047050299722
2314,2194,2269,44.71036441626215_-122.23883619149858,-122.23883619149858,44.71036441626215
614,516,504,44.70201008411984_-122.19787301454272,-122.19787301454272,44.70201008411984
458,292,644,44.72895954264342_-122.1631082130473,-122.1631082130473,44.72895954264342
694,602,751,44.6874573765171_-122.20083745498032,-122.20083745498032,44.6874573765171
806,669,988,44.710633910847385_-122.19140514449708,-122.19140514449708,44.710633910847385
600,467,519,44.69904564368225_-122.2067663358555,-122.2067663358555,44.69904564368225
427,404,399,44.6979676653413_-122.19410009034942,-122.19410009034942,44.6979676653413
567,489,566,44.71467632962592_-122.16095225636542,-122.16095225636542,44.71467632962592
720,638,892,44.71117290001786_-122.18736272571851,-122.18736272571851,44.71117290001786
749,556,979,44.72222217801253_-122.1563708484164,-122.1563708484164,44.72222217801253
411,309,347,44.72249167259776_-122.24907698573752,-122.24907698573752,44.72249167259776
410,367,365,44.71386784587022_-122.16849810475202,-122.16849810475202,44.71386784587022
483,378,517,44.71844925381922_-122.18143384484334,-122.18143384484334,44.71844925381922
749,660,615,44.70254907329032_-122.2374887185724,-122.2374887185724,44.70254907329032
721,563,701,44.706860986654085_-122.24072265359524,-122.24072265359524,44.706860986654085
743,505,1008,44.73219347766626_-122.1601437726097,-122.1601437726097,44.73219347766626
612,506,496,44.69904564368225_-122.20191543332126,-122.20191543332126,44.69904564368225
990,698,1285,44.71575430796687_-122.17307951270102,-122.17307951270102,44.71575430796687
608,540,549,44.69688968700036_-122.22805640808916,-122.22805640808916,44.69688968700036
764,519,1059,44.72141369425682_-122.17846940440576,-122.17846940440576,44.72141369425682
636,524,520,44.71171188918833_-122.1736185018715,-122.1736185018715,44.71171188918833
745,598,795,44.7084779541655_-122.1908661553266,-122.1908661553266,44.7084779541655
613,487,842,44.71871874840446_-122.18655424196282,-122.18655424196282,44.71871874840446
419,364,416,44.69392524656276_-122.21997157053208,-122.21997157053208,44.69392524656276
540,450,646,44.720874705086345_-122.15367590256405,-122.15367590256405,44.720874705086345
379,313,397,44.68961333319899_-122.20622734668504,-122.20622734668504,44.68961333319899
588,455,756,44.72114419967159_-122.15313691339357,-122.15313691339357,44.72114419967159
533,362,686,44.72383914552394_-122.1849372744514,-122.1849372744514,44.72383914552394
427,280,576,44.722761167183_-122.17793041523528,-122.17793041523528,44.722761167183
771,526,1050,44.72168318884206_-122.17793041523528,-122.17793041523528,44.72168318884206
770,558,995,44.71494582421116_-122.17388799645671,-122.17388799645671,44.71494582421116
731,534,984,44.72410864010918_-122.15529287007546,-122.15529287007546,44.72410864010918
949,886,955,44.71117290001786_-122.23775821315763,-122.23775821315763,44.71117290001786
768,585,641,44.698506654511775_-122.2277869135039,-122.2277869135039,44.698506654511775
390,373,365,44.71305936211451_-122.17065406143392,-122.17065406143392,44.71305936211451
691,570,775,44.72222217801253_-122.1849372744514,-122.1849372744514,44.72222217801253
190,200,216,44.72437813469441_-122.14020117330226,-122.14020117330226,44.72437813469441
417,374,465,44.68449293607951_-122.19814250912796,-122.19814250912796,44.68449293607951
500,459,561,44.68503192524998_-122.1984120037132,-122.1984120037132,44.68503192524998
525,361,605,44.73569690727432_-122.16068276178018,-122.16068276178018,44.73569690727432
596,456,507,44.71467632962592_-122.16876759933726,-122.16876759933726,44.71467632962592
620,477,526,44.6979676653413_-122.20407139000316,-122.20407139000316,44.6979676653413
796,666,696,44.69958463285272_-122.2353327618905,-122.2353327618905,44.69958463285272
866,690,1096,44.70497452455744_-122.24045315901,-122.24045315901,44.70497452455744
221,186,248,44.72464762927965_-122.14100965705796,-122.14100965705796,44.72464762927965
372,324,419,44.71979672674541_-122.15448438631977,-122.15448438631977,44.71979672674541
639,414,820,44.73407993976291_-122.163916696803,-122.163916696803,44.73407993976291
430,406,453,44.69715918158559_-122.19167463908232,-122.19167463908232,44.69715918158559
622,525,756,44.723300156353474_-122.13427229242708,-122.13427229242708,44.723300156353474
453,415,434,44.70766947040979_-122.1803558665024,-122.1803558665024,44.70766947040979
457,434,453,44.69500322490371_-122.2000289712246,-122.2000289712246,44.69500322490371
406,358,406,44.67802506603385_-122.19059666074136,-122.19059666074136,44.67802506603385
698,488,948,44.72410864010918_-122.15071146212644,-122.15071146212644,44.72410864010918
572,510,574,44.69500322490371_-122.25204142617514,-122.25204142617514,44.69500322490371
372,279,344,44.6904218169547_-122.2097307762931,-122.2097307762931,44.6904218169547
453,425,459,44.70901694333597_-122.17604395313862,-122.17604395313862,44.70901694333597
620,495,530,44.70497452455744_-122.18978817698564,-122.18978817698564,44.70497452455744
611,488,504,44.69446423573324_-122.21512066799782,-122.21512066799782,44.69446423573324
617,419,661,44.73003752098437_-122.163916696803,-122.163916696803,44.73003752098437
