t,BO,HT,LB
7/13/2018 11:20,2042896.985,,
7/16/2018 9:40,,,2890537.686
7/16/2018 10:15,,1165341.916,
7/16/2018 10:35,523707.4674,,
7/18/2018 10:00,,,1981109.308
7/18/2018 10:30,,1788067.801,
7/18/2018 10:45,294523.4218,,
7/24/2018 9:50,,,3594031.999
7/24/2018 10:45,,350799.5964,
7/24/2018 11:40,446262.3121,,
7/26/2018 9:50,,,422399.2138
7/26/2018 10:25,,1182343.947,
7/26/2018 10:45,278272.7759,,
7/31/2018 10:40,,,119653.3133
7/31/2018 11:15,,128626.0757,
7/31/2018 11:40,454096.3957,,
8/2/2018 9:40,323695.1289,,
8/2/2018 10:20,,71836.28101,
8/2/2018 10:30,,1006156.785,
8/2/2018 10:55,,,106616.7041
8/2/2018 11:10,,,101020.8695
8/7/2018 10:00,,,38320.97437
8/7/2018 10:30,,339470.6125,
8/7/2018 10:50,369069.4977,,
8/9/2018 10:10,,,26605.08956
8/9/2018 10:25,,24141.7968,
8/9/2018 10:50,20102.60171,,
8/14/2018 10:45,,,15632.28683
8/14/2018 11:30,,1116.700437,
8/14/2018 12:00,1280.614286,,
8/16/2018 10:55,,,1125.753257
8/16/2018 11:15,,1249.949323,
8/16/2018 11:35,1273.914836,,
8/21/2018 10:40,,,740.2737273
8/21/2018 10:55,,589.4772273,
8/21/2018 11:20,173.6444545,,
8/29/2018 10:45,,,246.7579091
8/29/2018 11:05,,34942.14523,
8/29/2018 11:30,188.495625,,
9/11/2018 11:30,,,930.9282999
9/11/2018 11:45,,82.25263636,
9/11/2018 12:05,445.5351136,,
9/26/2018 11:20,,,4342.00229
9/26/2018 11:45,,7243.092601,
9/26/2018 12:05,9831.389933,,
10/2/2018 10:30,,,136243.4108
10/2/2018 10:50,,1588.451285,
10/2/2018 11:05,3635.985029,,
3/5/2019 10:50,,,18649.2478
3/5/2019 11:35,,3003.154222,
3/5/2019 12:00,30547.2669,,
4/9/2019 11:00,,,767.8179243
4/9/2019 11:45,,3916.894346,
4/9/2019 12:15,41610.49977,,
4/17/2019 10:00,,,6916.087175
4/17/2019 10:45,,3651.547067,
4/17/2019 11:10,12728.97997,,
4/23/2019 10:30,,,7521.887846
4/23/2019 11:05,,3850.593596,
4/23/2019 11:35,11344.48659,,
4/30/2019 10:20,,,268238.5206
4/30/2019 11:05,,4570.677205,
4/30/2019 11:35,15913.12114,,
5/7/2019 10:05,,,7513.241721
5/7/2019 10:50,,4943.878544,
5/7/2019 11:20,6485.173492,,
5/14/2019 9:45,,,5396.969276
5/14/2019 10:25,,9970.498333,
5/14/2019 11:20,1402832.083,,
