,Time,Site,Cylindrospermopsin,Microcystin,Depth,LCMSMS_Cylindrospermopsin,LCMSMS_Microcystin
726,2018-06-20 08:40:00,PK,0.0,0.0,0.0,0.0,0.0
727,2018-06-20 08:50:00,BCR,0.0,0.0,0.0,0.0,0.0
728,2018-06-20 09:45:00,LB,0.122,5.635,0.0,0.05510000139474869,2.128700017929077
729,2018-06-20 09:50:00,LBS,0.117,3.177,22.0,0.0,0.0
730,2018-06-20 09:55:00,LBP,0.0,0.0,160.0,0.035599999129772186,0.02250000089406967
731,2018-06-20 10:10:00,HT,0.119,4.169,0.0,0.0,0.0
732,2018-06-20 10:40:00,BO,0.116,15.24,0.0,0.05350000038743019,1.4592000246047974
733,2018-06-21 09:05:00,PK,0.0,0.0,0.0,0.0,0.029600000008940697
734,2018-06-21 09:20:00,BCR,0.065,2.757,0.0,0.0,0.29670000076293945
735,2018-06-21 10:20:00,LB,0.09,5.075,0.0,0.0,2.559299945831299
736,2018-06-21 10:30:00,LBS,0.095,7.72,22.0,0.0,0.6765999794006348
737,2018-06-21 10:40:00,LBP,0.0,0.0,160.0,0.0,0.004600000102072954
738,2018-06-21 11:00:00,HT,0.096,1.753,0.0,0.0,0.0
739,2018-06-21 11:30:00,BO,0.09,4.113,0.0,0.03889999911189079,1.3783999681472778
740,2018-06-22 10:00:00,PK,0.0,1.623,0.0,0.0,0.01940000057220459
741,2018-06-22 10:15:00,BCR,0.086,5.145,0.0,0.057500001043081284,1.6097999811172485
742,2018-06-23 08:25:00,PK,0.058,1.396,0.0,0.03240000084042549,0.15729999542236328
743,2018-06-23 08:40:00,BCR,0.108,4.37,0.0,0.06319999694824219,0.4147999882698059
744,2018-06-23 09:25:00,LB,0.123,4.467,0.0,0.04859999939799309,1.664199948310852
745,2018-06-23 09:40:00,HT,0.096,4.478,0.0,0.0,0.005900000222027302
746,2018-06-23 10:00:00,BO,0.102,3.513,0.0,0.037300001829862595,0.5720000267028809
747,2018-06-24 10:50:00,PK,0.064,2.01,0.0,0.029200000688433647,0.21649999916553497
748,2018-06-24 11:10:00,BCR,0.079,5.365,0.0,0.042100001126527786,3.2730000019073486
749,2018-06-24 11:50:00,LB,0.107,2.615,0.0,0.0,0.05649999901652336
750,2018-06-24 12:20:00,HT,0.085,9.24,0.0,0.014600000344216824,1.6841000318527222
751,2018-06-24 12:35:00,BO,0.098,5.97,0.0,0.0,0.48260000348091125
752,2018-06-25 09:40:00,PK,0.063,2.053,0.0,0.0,0.0
753,2018-06-25 10:00:00,BCR,0.104,5.115,0.0,0.038100000470876694,1.6024999618530273
754,2018-06-25 10:40:00,LBS,0.121,4.55,17.0,0.0186,2.7701
755,2018-06-25 10:50:00,LBP,0.069,0.068,155.0,0.0,0.1019
756,2018-06-25 10:25:00,LB,0.111,6.53,0.0,0.08429999649524689,1.184999942779541
757,2018-06-25 11:10:00,HT,0.101,3.304,0.0,0.0,0.03020000085234642
758,2018-06-25 11:30:00,BO,0.107,2.623,0.0,0.08340000361204147,0.9061999917030334
759,2018-06-26 08:50:00,PK,0.078,1.701,0.0,0.0,0.005200000014156103
760,2018-06-26 09:15:00,BCR,0.118,7.29,0.0,0.029999999329447746,2.5683999061584473
761,2018-06-26 09:55:00,LB,0.117,10.605,0.0,0.0,0.48010000586509705
762,2018-06-26 10:00:00,LBS,0.138,7.305,22.0,0.06159999966621399,4.648600101470947
763,2018-06-26 10:05:00,LBP,0.075,0.0,160.0,0.0,0.0
764,2018-06-26 10:30:00,HT,0.124,4.465,0.0,0.03240000084042549,2.8132998943328857
765,2018-06-26 11:00:00,BO,0.125,6.545,0.0,0.051899999380111694,3.0480000972747803
766,2018-06-27 09:45:00,PK,0.063,1.721,0.0,0.01940000057220459,0.8180000185966492
767,2018-06-27 10:01:00,BCR,0.089,9.41,0.0,0.023499999195337296,3.4595999717712402
768,2018-06-27 11:00:00,LBS,0.087,4.624,17.0,0.0,0.0349
769,2018-06-27 11:05:00,LBP,0.052,0.0,155.0,0.0778,0.0042
770,2018-06-27 10:50:00,LB,0.083,8.545,0.0,0.050999999046325684,2.0190000534057617
771,2018-06-27 11:18:00,HT,0.1,2.965,0.0,0.050200000405311584,3.580699920654297
772,2018-06-27 11:40:00,BO,0.085,3.625,0.0,0.0,0.13439999520778656
773,2018-06-28 09:05:00,PK,0.057,1.176,0.0,0.0,0.0
774,2018-06-28 09:20:00,BCR,0.096,7.695,0.0,0.0,0.0
775,2018-06-28 10:10:00,LBS,0.111,9.37,18.0,0.0,0.0
776,2018-06-28 10:15:00,LBP,0.066,0.117,155.0,0.0,0.0
777,2018-06-28 10:05:00,LB,0.116,19.635,0.0,0.0,0.07190000265836716
778,2018-06-28 10:30:00,HT,0.109,6.6,0.0,0.0,0.0
779,2018-06-28 10:50:00,BO,0.109,0.998,0.0,0.0,0.0
780,2018-06-29 00:00:00,BCR,0.086,5.0,0.0,,
781,2018-06-29 00:00:00,PK,0.054,1.574,0.0,,
782,2018-06-29 09:15:00,PK,0.065,2.049,0.0,0.029999999329447746,0.03539999946951866
783,2018-06-29 09:30:00,BCR,0.084,16.08,0.0,0.2538999915122986,0.2944999933242798
784,2018-06-29 10:15:00,LBS,0.099,12.29,16.0,2.7484,3.773
785,2018-06-29 10:20:00,LBP,0.068,0.0,154.0,0.0,0.0
786,2018-06-29 10:10:00,LB,0.112,13.19,0.0,0.01600000075995922,0.020500000566244125
787,2018-06-29 10:35:00,HT,0.099,6.01,0.0,0.6690999865531921,0.8788999915122986
788,2018-06-29 10:55:00,BO,0.097,1.835,0.0,0.16619999706745148,0.20419999957084656
789,2018-06-30 00:00:00,BCR,0.101,5.0,0.0,,
790,2018-06-30 00:00:00,PK,0.053,1.687,0.0,,
791,2018-06-30 05:40:00,BCR,0.116,8.25,0.0,0.02669999934732914,0.08780000358819962
792,2018-06-30 05:55:00,PK,0.071,3.006,0.0,0.0,0.00930000003427267
793,2018-07-01 05:45:00,BCR,0.087,5.215,0.0,,
794,2018-07-01 05:59:00,PK,0.067,1.97,0.0,,
795,2018-07-01 05:53:00,BCR,0.078,5.0,0.0,,
796,2018-07-01 06:07:00,PK,0.05,1.488,0.0,,
797,2018-07-02 05:53:00,BCR,0.089,8.73,0.0,,
798,2018-07-02 06:07:00,PK,0.063,2.9,0.0,,
799,2018-07-02 09:45:00,LB,0.091,7.405,0.0,,
800,2018-07-02 09:50:00,LBS,0.074,13.975,16.0,,
801,2018-07-02 09:55:00,LBP,0.06,0.155,154.0,,
802,2018-07-02 10:00:00,HT,0.097,1.936,0.0,,
803,2018-07-02 10:15:00,BO,0.092,0.996,0.0,,
804,2018-07-02 05:53:00,BCR,0.079,5.0,0.0,,
805,2018-07-02 06:07:00,PK,0.06,1.603,0.0,,
806,2018-07-03 05:50:00,BCR,0.095,10.02,0.0,,
807,2018-07-03 05:50:00,BCR,0.098,5.0,0.0,,
808,2018-07-03 06:02:00,PK,0.07,3.191,0.0,,
809,2018-07-03 06:02:00,PK,0.082,2.299,0.0,,
810,2018-07-03 10:00:00,LB,0.091,106.2,0.0,,
811,2018-07-03 10:05:00,LBS,0.084,10.92,16.0,,
812,2018-07-03 10:10:00,LBP,0.063,0.0,154.0,,
813,2018-07-03 10:25:00,HT,0.095,12.335,0.0,,
814,2018-07-03 10:40:00,BO,0.092,1.414,0.0,,
815,2018-07-04 05:49:00,BCR,0.094,11.43,0.0,,
816,2018-07-04 05:49:00,BCR,0.093,5.0,0.0,,
817,2018-07-04 06:03:00,PK,0.059,2.759,0.0,,
818,2018-07-04 06:03:00,PK,0.053,2.964,0.0,,
819,2018-07-05 05:55:00,BCR,0.099,7.785,0.0,,
820,2018-07-05 05:55:00,BCR,0.103,5.0,0.0,,
821,2018-07-05 06:10:00,PK,0.071,3.944,0.0,,
822,2018-07-05 06:10:00,PK,0.057,2.833,0.0,,
823,2018-07-05 09:35:00,LB,0.115,10.785,0.0,,
824,2018-07-05 09:40:00,LBS,0.1,8.92,15.0,,
825,2018-07-05 09:45:00,LBP,0.079,0.108,153.0,,
826,2018-07-05 09:55:00,HT,0.124,6.67,0.0,,
827,2018-07-05 10:05:00,BO,0.113,1.82,0.0,,
828,2018-07-06 05:43:00,BCR,0.098,9.645,0.0,,
829,2018-07-06 05:43:00,BCR,0.101,5.0,0.0,,
830,2018-07-06 05:55:00,PK,0.071,2.961,0.0,,
831,2018-07-06 05:55:00,PK,0.053,3.134,0.0,,
832,2018-07-06 00:00:00,LB,0.093,5.0,0.0,,
833,2018-07-06 00:00:00,LBP,0.061,0.142,153.0,,
834,2018-07-06 00:00:00,LBS,0.097,5.0,15.0,,
835,2018-07-09 05:45:00,BCR,0.084,12.66,0.0,,
836,2018-07-09 05:58:00,PK,0.064,3.874,0.0,,
837,2018-07-09 10:10:00,LB,0.101,15.785,0.0,,
838,2018-07-09 10:15:00,LBS,0.103,14.65,15.0,,
839,2018-07-09 10:20:00,LBP,0.097,0.0,153.0,,
840,2018-07-09 10:30:00,HT,0.087,3.725,0.0,,
841,2018-07-09 10:50:00,BO,0.087,4.442,0.0,,
842,2018-07-09 10:50:00,BO,0.602,3.076,0.0,,
843,2018-07-09 11:50:00,BO,0.078,3.076,0.0,,
844,2018-07-09 10:30:00,HT,0.069,5.0,0.0,,
845,2018-07-09 10:30:00,HT,0.602,5.0,0.0,,
846,2018-07-09 00:00:00,LB,0.073,5.0,0.0,,
847,2018-07-09 00:00:00,LBP,0.091,0.029,153.0,,
848,2018-07-09 00:00:00,LBP,0.069,0.029,153.0,,
849,2018-07-09 00:00:00,LBS,0.083,5.0,15.0,,
850,2018-07-11 05:45:00,BCR,0.101,5.0,0.0,,
851,2018-07-11 05:45:00,BCR,0.088,7.48,0.0,,
852,2018-07-11 06:00:00,PK,0.06,4.521,0.0,,
853,2018-07-11 06:00:00,PK,0.06,3.614,0.0,,
854,2018-07-11 09:50:00,LB,0.075,17.875,0.0,,
855,2018-07-11 09:50:00,LB,0.094,5.0,0.0,,
856,2018-07-11 09:55:00,LBS,0.086,4.12,13.0,,
857,2018-07-11 09:55:00,LBS,0.094,5.0,13.0,,
858,2018-07-11 10:05:00,LBP,0.067,0.285,151.0,,
859,2018-07-11 10:05:00,LBP,0.069,0.134,151.0,,
860,2018-07-11 10:25:00,HT,0.098,3.134,0.0,,
861,2018-07-11 10:25:00,HT,0.067,3.614,0.0,,
862,2018-07-11 10:40:00,BO,0.077,2.628,0.0,,
863,2018-07-11 10:40:00,BO,0.091,1.805,0.0,,
864,2018-07-13 09:46:00,BCR,0.09,5.0,0.0,,
865,2018-07-13 09:46:00,BCR,0.09,5.0,,,
866,2018-07-13 10:30:00,LBS,0.073,3.057,12.0,,
867,2018-07-13 10:30:00,LBS,0.073,3.057,12.0,,
868,2018-07-13 10:35:00,LBP,0.073,0.007,150.0,,
869,2018-07-13 10:35:00,LBP,0.073,0.007,150.0,,
870,2018-07-13 11:00:00,HT,0.086,1.023,0.0,,
871,2018-07-13 11:20:00,BO,0.078,2.561,0.0,,
872,2018-07-13 11:25:00,LB,0.076,1.228,0.0,,
873,2018-07-13 11:25:00,LB,0.076,1.228,0.0,,
874,2018-07-13 12:10:00,PK,0.065,3.849,0.0,,
875,2018-07-13 12:10:00,PK,0.065,3.849,,,
876,2018-07-16 09:05:00,BCR,0.082,5.0,0.0,,
877,2018-07-16 09:40:00,LB,0.093,5.0,0.0,,
878,2018-07-16 09:50:00,LBS,0.106,5.0,10.0,,
879,2018-07-16 09:55:00,LBP,0.087,0.197,148.0,,
880,2018-07-16 10:15:00,HT,0.083,5.0,0.0,,
881,2018-07-16 10:35:00,BO,0.089,1.386,0.0,,
882,2018-07-16 11:25:00,PK,0.067,1.422,0.0,,
883,2018-07-18 09:15:00,BCR ,0.094,5.0,0.0,,
884,2018-07-18 10:00:00,LB,0.084,5.0,0.0,,
885,2018-07-18 10:05:00,LBS,0.097,5.0,11.0,,
886,2018-07-18 10:10:00,LBP,0.092,0.075,149.0,,
887,2018-07-18 10:30:00,HT,0.092,5.0,0.0,,
888,2018-07-18 10:45:00,BO,0.097,1.499,0.0,,
889,2018-07-18 11:30:00,PK,0.069,1.275,0.0,,
890,2018-07-24 09:00:00,BCR,0.087,5.0,0.0,,
891,2018-07-24 09:50:00,LB,0.064,5.0,0.0,,
892,2018-07-24 09:55:00,LBS,0.069,5.0,10.0,,
893,2018-07-24 10:00:00,LBP,0.072,0.442,148.0,,
894,2018-07-24 10:45:00,HT,0.075,1.991,0.0,,
895,2018-07-24 11:40:00,BO,0.075,1.875,0.0,,
896,2018-07-24 12:50:00,PK,0.058,2.083,0.0,,
897,2018-07-26 09:10:00,BCR,0.077,2.691,0.0,,
898,2018-07-26 09:50:00,LB,0.073,1.106,0.0,,
899,2018-07-26 09:55:00,LBS,0.08,1.071,10.0,,
900,2018-07-26 10:00:00,LBP,0.079,0.31,148.0,,
901,2018-07-26 10:25:00,HT,0.08,2.028,0.0,,
902,2018-07-26 10:45:00,BO,0.089,0.709,0.0,,
903,2018-07-26 11:30:00,PK,0.084,1.227,0.0,,
904,2018-07-31 09:20:00,BCR,0.075,2.392,0.0,,
905,2018-07-31 10:40:00,LB,0.075,0.597,0.0,,
906,2018-07-31 10:45:00,LBS,0.064,5.0,9.0,,
907,2018-07-31 10:50:00,LBP,0.102,0.571,147.0,,
908,2018-07-31 11:15:00,HT,0.083,0.822,0.0,,
909,2018-07-31 11:40:00,BO,0.068,0.662,0.0,,
910,2018-07-31 12:30:00,PK,0.08,0.652,0.0,,
911,2018-08-02 09:00:00,BCR,0.068,0.722,0.0,,
912,2018-08-02 09:40:00,BO,0.063,0.153,0.0,,
913,2018-08-02 10:20:00,HT,0.063,0.163,0.0,,
914,2018-08-02 10:55:00,LB,0.0,0.001,0.0,,
915,2018-08-02 11:00:00,LBS,0.073,0.292,8.0,,
916,2018-08-02 11:05:00,LBP,0.075,0.496,146.0,,
917,2018-08-02 12:30:00,PK,0.078,0.253,0.0,,
918,2018-08-07 09:15:00,BCR,0.072,0.944,0.0,,
919,2018-08-07 10:00:00,LB,0.081,0.008,0.0,,
920,2018-08-07 10:05:00,LBS,0.091,0.003,7.0,,
921,2018-08-07 10:10:00,LBP,0.121,0.229,145.0,,
922,2018-08-07 10:30:00,HT,0.072,0.233,0.0,,
923,2018-08-07 10:50:00,BO,0.083,0.196,0.0,,
924,2018-08-07 11:45:00,PK,0.088,0.198,0.0,,
925,2018-08-09 09:10:00,BCR,0.075,0.163,0.0,,
926,2018-08-09 10:00:00,LBS,0.091,0.003,6.0,,
927,2018-08-09 10:05:00,LBP,0.121,0.229,144.0,,
928,2018-08-09 10:10:00,LB,0.081,0.008,0.0,,
929,2018-08-09 10:25:00,HT,0.066,0.082,0.0,,
930,2018-08-09 10:50:00,BO,0.066,0.074,0.0,,
931,2018-08-09 11:40:00,PK,0.071,0.111,0.0,,
932,2018-08-09 00:00:00,LB,0.06,0.166,0.0,,
933,2018-08-09 00:00:00,LBP,0.108,0.254,144.0,,
934,2018-08-09 00:00:00,LBS,0.062,0.167,6.0,,
