t,14178000,14179000,14180300,14181500,,,,,
2/21/2020,3.6---,3.8---,3.3---,5.3-736-0.42-0.16,,,,,
2/22/2020,3.9---,3.9---,3.4---,5.4-735-0.44-0.16,,,,,
2/23/2020,4---,4.1---,3.6---,5.5-738-0.5-0.16,,,,,
2/24/2020,4---,4.2---,3.7---,5.4-746-0.51-0.16,,,,,
2/25/2020,3.8---,4---,3.3---,5.3-744-0.41-0.16,,,,,
2/26/2020,4.6---,4.7---,4---,5.4-743-0.35-0.15,,,,,
2/27/2020,4.1---,4.2---,3.8---,5.5-741-0.41-0.15,,,,,
2/28/2020,4.3---,4.4---,3.9---,5.5-735-0.5-0.16,,,,,
2/29/2020,4.3---,4.4---,3.7---,5.6-735-0.6-0.17,,,,,
3/1/2020,4---,4.2---,3.4---,5.5-740-0.58-0.17,,,,,
3/2/2020,4.3---,4.4---,3.8---,5.4-741-0.39-0.16,,,,,
3/3/2020,5---,5.1---,4.5---,5.4-738-0.34-0.16,,,,,
3/4/2020,5.2---,5.3---,4.7---,5.6-737-0.35-0.16,,,,,
3/5/2020,4.7---,4.7---,4.2---,5.6-733-0.38-0.16,,,,,
3/6/2020,4.8---,4.9---,4.4---,5.6-730-0.45-0.16,,,,,
3/7/2020,4.9---,5---,4.3---,5.5-729-0.65-0.17,,,,,
3/8/2020,4.6---,4.7---,4---,5.4-732-0.53-0.17,,,,,
3/9/2020,4.7---,4.8---,4.1---,5.4-736-0.4-0.16,,,,,
3/10/2020,4.3---,4.3---,3.7---,5.4-737-0.46-0.17,,,,,
3/11/2020,4.6---,4.6---,3.9---,5.6-737-0.95-0.19,,,,,
3/12/2020,4.2---,4.2---,3.5---,5.7-737-1.58-0.2,,,,,
3/13/2020,3.5---,3.6---,2.9---,5.6-725-1.4-0.19,,,,,
3/14/2020,3.7---,3.6---,3---,5.5-726-1.14-0.19,,,,,
3/15/2020,3.2---,2.8---,2.5---,5.3-731-0.82-0.18,,,,,
3/16/2020,3.6---,3.4---,2.7---,5.6-732-1.85-0.21,,,,,
3/17/2020,4.1---,3.8---,3---,5.8-728-3-0.24,,,,,
3/18/2020,4.7---,4.4---,3.7---,5.9-729-2.95-0.23,,,,,
3/19/2020,4.6---,4.3---,3.6---,5.9-732-2.66-0.23,,,,,
3/20/2020,5---,4.7---,4---,5.9-737-2.56-0.23,,,,,
3/21/2020,4.9---,4.7---,4.1---,6-737-2.4-0.22,,,,,
3/22/2020,4.8---,4.6---,3.9---,5.9-733-2.04-0.21,,,,,
3/23/2020,4.9---,4.9---,4.2---,5.9-730-2.42-0.22,,,,,
3/24/2020,4.6---,4.6---,3.9---,5.8-731-2.39-0.22,,,,,
3/25/2020,4.4---,4.3---,3.4---,5.7-733-1.37-0.2,,,,,
3/26/2020,4.3---,4.4---,3.6---,5.8-734-1.42-0.2,,,,,
3/27/2020,4.6---,4.7---,4---,5.8-734-1.92-0.22,,,,,
3/28/2020,5.4---,5.3---,4.8---,5.9-733-2.63-0.22,,,,,
3/29/2020,5.5---,5.4---,4.8---,6.1-731-3.23-0.24,,,,,
3/30/2020,4.3---,4.6---,4---,6-730-2.89-0.23,,,,,
3/31/2020,3.5---,3.9---,3.6---,5.8-733-1.92-0.22,,,,,
4/1/2020,4.1---,4.5---,4---,5.8-734-1.44-0.21,,,,,
4/2/2020,4.4---,4.7---,4.1---,5.7-737-1.14-0.21,,,,,
4/3/2020,4.4---,4.6---,4.1---,5.8-734-1.27-0.2,,,,,
4/4/2020,4.5---,4.7---,4.2---,5.9-724-1.68-0.22,,,,,
4/5/2020,5.4---,5.4---,5---,6.1-721-1.66-0.23,,,,,
4/6/2020,5.4---,5.3---,5---,6.4-730-2.02-0.23,,,,,
4/7/2020,5.9---,5.9---,5.3---,6.3-736-1.66-0.22,,,,,
4/8/2020,5.8---,5.6---,5.1---,6.3-736-0.97-0.21,,,,,
4/9/2020,6---,5.9---,5.4---,6.3-733-0.78-0.21,,,,,
4/10/2020,6.3---,6.1---,5.6---,6.4-734-0.8-0.22,,,,,
4/11/2020,6.5---,6.3---,5.8---,6.5-735-0.8-0.22,,,,,
